Služeb;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Solidarity;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Starostrašnická;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Škvorecká;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Teplárenská;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Tiskařská;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Třebohostická;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Turnovského;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
U hřiště;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
U kombinátu;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
U Stavoservisu;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
V olšinách;110; 122;even;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Věšínova;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Za poštou;0;10000;all;Základní škola Solidarita, Praha 10, Brigádníků 510/14, příspěvková organizace;Městská část Praha 10
Aubrechtové;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Bramboříková;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Broskvoňová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Břečťanová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Dolní Chaloupky;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ellnerové;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Ginzova;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Hlohová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Holubkova;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Horní Chaloupky;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Hrušňová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Hyacintová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Chmelová;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Jabloňová;1; 53;odd;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Jabloňová;2; 82;even;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
Jesenická;0;10000;all;Základní škola, Praha 10, Břečťanová 2919/6, příspěvková organizace;Městská část Praha 10
