IZO;Je základní;adresa1;adresa2;adresa3
#181121069;FALSE;Lánská 993;250 64 Hovorčovice
#107516098;FALSE;par. č. 300/4 (lesní mateřská škola);250 68 Husinec u Řeže
#181055112;FALSE;Parc. č. 190/6 a 190/3 (lesní mateřská škola);251 01 Tehov
#108053083;FALSE;Dobrovského 1071;250 65 Líbeznice
#113800169;FALSE;Dobrovského 1071/;250 65 Líbeznice
#107516667;FALSE;parc. č. 226/1 (lesní mateřská škola);252 62 Únětice
#107516675;FALSE;K Višňovce 1389;253 01 Hostivice
#107517116;FALSE;Pikovická 270;252 09 Hradištko
#113900031;FALSE;Pikovická 270;252 09 Hradištko
#181041073;FALSE;Školní 33;252 09 Hradištko
#000241610;TRUE;Kantorova 2485;252 63 Roztoky
#113900155;FALSE;Kantorova 2485;252 63 Roztoky
#102738921;FALSE;Kantorova 2485;252 63 Roztoky
#114001219;FALSE;parc. č. 49/1 (lesní mateřská škola);262 52 Vysoký Chlumec
#114100322;FALSE;Čsl. armády 213;271 01 Nové Strašecí
#107530619;FALSE;Školní 428;373 11 Ledenice
#102475563;FALSE;Školní 428;373 11 Ledenice
#181129752;FALSE;Stavební parcely č.1938 a 2050;384 51 Volary
#181129761;FALSE;Stavební parcely č.1938 a 2050;384 51 Volary
#114700109;FALSE;374 73 Stachy 206
#181039991;FALSE;Lidická 194;386 01
#102516634;TRUE;KÚZ Klimentov, parc. č. 610 (budova bez č.p. nebo č.ev.);353 01 Velká Hleďsebe
#102109427;FALSE;Pavlovice nad Mží 374;348 15 Planá u Mariánských Lázní
#049753347;TRUE;Masarykova poz. p.č. 481/1 a  p.č. 3265 (atletický areál);363 01 Ostrov
#047700009;FALSE;Stará cihelna;331 62 Manětín (k. ú. Manětín)
#108019632;FALSE;p. č. 99/174 (k.ú. Habartov);357 09 Habartov
#108019641;FALSE;Klubovna ČSOP na p.č. 2256/2;357 35 Chodov
#102157286;FALSE;Březiny  98;405 02 Děčín XXVII
#107563151;FALSE;Huntířov nad Jizerou 63;468 22 Železný Brod
#102165823;TRUE;Skuhrov, Huntířov 63;468 22 Železný Brod
#116300370;FALSE;Huntířov nad Jizerou 63;468 22 Železný Brod
#102717818;FALSE;Huntířov nad Jizerou 63;468 22 Železný Brod
#116300205;FALSE;Liberecká 5366/26b;466 01 Jablonec nad Nisou
#107565188;FALSE;Okružní 339;411 18 Budyně n.O.
#107568969;FALSE;Dubice 79;400 04 Ústí nad Labem
#102777152;FALSE;Dubice 79;400 04 Ústí nad Labem
#107580586;FALSE;č.p. 300;582 93 Kožlí
#102778060;FALSE;č.p. 300;582 93 Kožlí
#102966524;FALSE;Machov 563;549 63 Machov
#107586312;FALSE;Záhoří - Pipice č.p. 33;513 01 Semily
